Gene_id	A7-B11_MaxVal	A7-B11_MaxTime	Red_Pcnt_A7	Red_Pcnt_B11	PassMaxtime	PassRed	PassDuplDel	PassAll	Is_tRNA
PF3D7_1040200	6.230927079815865	Mid	97.28474455162558	7.198999642729547	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1372500	5.835632878442427	Left	98.12433011789923	16.148624508753127	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0413100	5.720122421654992	Left	98.2136477313326	16.863165416220077	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0412700	5.264813455602756	Left	99.57127545551982	44.58735262593784	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1149700	4.904089179317913	Left	81.1003929974991	20.096463022508036	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0632500	4.902171582402394	Left	99.4640943193998	39.33547695605573	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0412400	4.866056710576774	Left	99.60700250089316	51.5005359056806	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1480100	4.851352030865455	Left	94.08717399071097	9.003215434083602	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1100800	4.090230887056634	Left	95.05180421579136	18.8281529117542	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1302100	3.257219960650843	Right	97.10610932475883	61.91496963201143	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0302400	2.6661766818640977	Left	39.28188638799571	3.804930332261522	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0300900	4.490238118635213	Mid	98.92818863879955	49.035369774919616	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1039700	3.8673561249058537	Left	30.4930332261522	1.5541264737406215	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0222100	4.37183886069662	Left	81.65416220078599	6.663093962129333	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0700800	4.2566986283906285	Left	98.76741693461952	41.90782422293676	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0800800	4.096106244281382	Left	57.25259021078956	5.644873168988925	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0606800	3.978947927130736	Left	98.92818863879955	84.11932833154698	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0713300	3.818796352199601	Left	98.39228295819936	27.224008574490888	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1372600	3.790087905106682	Mid	92.05073240443016	39.67488388710254	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0114100	2.5955552273341733	Left	40.44301536262951	10.878885316184352	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0101300	3.2514220621760703	Left	46.30225080385852	9.110396570203644	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0713100	2.33120364882814	Left	55.859235441229	28.277956413004645	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0532600	3.668431814778584	Mid	97.1418363701322	48.517327617006075	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0100400	3.5965737717638624	Left	29.921400500178635	8.28867452661665	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1040300	3.520407000486486	Left	69.18542336548768	10.96820292961772	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0937700	2.175934678774287	Mid	16.702393712040013	6.341550553769203	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1253000	3.2884211297285435	Right	97.26688102893893	45.659163987138264	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0302300	2.346279506504718	Left	81.29689174705253	41.76491604144337	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1100300	3.0553397943519807	Left	24.8302965344766	3.1439799928545913	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0425900	3.2516299999073657	Right	30.4215791354055	7.627724187209719	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1252900	3.1800680746547014	Right	94.7481243301179	49.178277956413005	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1373400	3.1292134830537623	Right	35.119685602000715	9.289031797070384	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0616100	3.090620372348964	Left	98.41014648088604	56.62736691675598	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0701600	2.4998827126114818	Left	62.46873883529832	15.79135405501965	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1477000	2.7898671946609643	Left	68.27438370846731	27.527688460164345	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1041200	2.778536153983195	Left	40.74669524830297	6.841729188996069	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1477100	2.6875692355578633	Left	54.32297249017506	9.449803501250448	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0425800	2.6235401942638727	Left	75.06252232940336	15.594855305466238	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0223100	2.167959894986104	Left	35.155412647374064	11.28974633797785	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0420700	2.46860744079938	Left	54.894605216148626	15.969989281886388	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0425500	2.523226070476022	Left	27.920685959271168	9.021078956770276	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0401700	2.520981972919713	Mid	90.3715612718828	33.81564844587353	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0415500	2.3061743447132677	Mid	99.57127545551982	91.44337263308324	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0800900	2.4091869329583577	Sides	65.71989996427295	10.468024294390856	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0632400	2.3866294677134423	Left	34.137191854233656	9.003215434083602	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0425400	2.3436689948683536	Left	43.76563058235084	14.844587352625938	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1343100	2.280028860261529	Right	98.24937477670596	91.05037513397644	TRUE	TRUE	TRUE	TRUE	FALSE
